country,INDICATOR,SUBJECT,MEASURE,FREQUENCY,2014,2015,2016,2017,2018,2019
Montenegro,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,24.887,24.499,22.283,22.983,22.762,22.322
Morocco,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,29.394,32.16,30.873,34.132,33.895,34.992
Mozambique,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,23.556,23.987,23.063,22.104,21.477,20.715
Myanmar,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,32.719,31.63,32.87,29.551,30.038,29.91
Namibia,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,26.164,27.012,25.745,25.201,24.801,24.237
Nepal,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,95.659,89.298,91.932,80.83,82.672,82.825
Netherlands,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,12.192,12.651,11.523,12.423,12.073,12.033
New Zealand,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,6.049,6.004,6.078,5.984,6.035,6.05
Nicaragua,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,21.521,22.006,21.221,19.925,20.66,20.539
Niger,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,69.412,88.032,85.452,78.075,79.948,80.073
Nigeria,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,59.594,76.146,69.726,69.198,69.911,70.497
North Macedonia,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,37.729,35.286,33.01,33.992,33.365,32.668
Norway,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,7.497,7.066,6.639,6.689,6.726,6.668
OECD - Europe,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,15.497,15.771,14.786,14.761,14.818,14.643
OECD - Total,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,14.797,14.761,14.042,14.008,14.058,13.927
Oman,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,40.588,43.831,42.145,43.755,44.022,44.237
Pakistan,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,72.449,68.386,70.172,63.062,63.7,63.862
Palestinian Authority or West Bank and Gaza Strip,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,36.054,36.774,32.766,33.442,33.184,32.556
Panama,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,15.483,16.01,14.459,13.894,13.659,13.228
Papua New Guinea,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,15.592,16.301,16.478,15.736,16.066,16.047
Paraguay,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,14.233,12.615,12.602,12.801,12.799,12.84
Peru,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,30.66,31.005,30.805,30.593,30.905,31.059
Philippines,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,19.614,19.52,20.016,18.583,18.689,18.794
Poland,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,24.017,22.865,21.916,22.89,22.865,22.766
Portugal,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,8.658,8.804,7.828,8.396,8.216,8.176
Qatar,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,73.813,86.284,77.245,79.599,78.22,77.112
Romania,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,16.771,16.257,15.271,15.625,15.392,15.064
Russia,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,14.157,13.085,12.368,11.701,11.812,11.777
Rwanda,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,37.806,38.689,38.529,35.605,36.699,36.224
Saudi Arabia,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,59.137,69.617,62.209,66.604,64.484,64.06
Senegal,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,55.268,65.314,59.404,63.549,60.058,60.175
Serbia,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,28.553,28.191,25.575,26.643,26.073,25.504
Sierra Leone,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,46.324,55.324,54.077,50.402,51.051,51.276
Singapore,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,17.976,18.612,17.92,18.788,18.722,19.001
Slovak Republic,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,19.487,19.284,18.03,18.41,18.659,18.526
Slovenia,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,18.18,18.028,16.627,16.807,17.181,17.061
Somalia,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,28.862,28.622,28.16,29.941,29.685,30.149
South Africa,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,28.829,29.03,28.493,28.583,28.444,28.325
Spain,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,10.09,10.819,9.82,10.022,10.033,9.993
Sri Lanka,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,20.954,18.935,20.752,19.915,19.692,19.963
Sudan,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,47.667,53.886,52.375,54.744,55.021,56.036
Sweden,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,6.558,5.965,5.531,5.781,5.767,5.721
Switzerland,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,10.748,11.739,10.733,9.986,10.291,10.044
Syrian Arab Republic,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,33.023,34.378,32.217,31.78,31.749,31.335
Tajikistan,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,41.356,40.698,39.809,40.085,39.745,39.906
Tanzania,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,27.118,28.258,27.705,25.23,25.381,24.603
Thailand,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,29.415,28.042,30.64,26.88,27.416,27.323
Timor-Leste,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,16.325,15.903,17.096,15.801,15.624,15.753
Togo,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,40.825,51.073,48.394,46.633,46.376,46.126
Trinidad and Tobago,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,20.745,22.472,21.859,21.483,21.979,22.072
Tunisia,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,32.648,31.144,32.861,29.939,30.731,30.551
Turkey,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,28.785,29.597,28.717,27.159,27.403,26.851
Turkmenistan,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,29.762,27.999,27.206,26.345,25.764,25.309
Uganda,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,40.82,43.208,41.773,38.548,37.215,35.228
Ukraine,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,17.52,16.881,15.118,14.699,14.785,14.701
United Arab Emirates,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,40.73,45.189,42.792,43.03,43.21,43.084
United Kingdom,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,10.828,10.323,10.153,10.287,10.104,10.022
United States,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,8.445,8.178,7.391,7.758,7.788,7.676
Uruguay,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,9.932,9.969,9.923,9.576,9.616,9.571
Uzbekistan,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,38.911,36.991,36.672,36.616,36.34,36.352
Venezuela,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,22.355,22.658,22.273,21.887,22.123,22.215
Viet Nam,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,22.262,21.721,22.421,20.335,20.365,20.195
World,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,47.698,46.477,45.614,42.709,42.877,42.531
Yemen,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,43.855,48.466,45.154,46.611,45.317,44.645
Zambia,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,27.436,28.357,27.475,26.249,26.373,25.924
Zimbabwe,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,26.232,25.984,25.396,22.613,22.108,20.847
